Genero,Edad,CCAA,Periodo,Total
Total,Todas las edades,Comunidad Foral de Navarra,2008,3
Total,Todas las edades,Comunidad Foral de Navarra,2007,1
Total,Todas las edades,Comunidad Foral de Navarra,2006,2
Total,Todas las edades,Comunidad Foral de Navarra,2005,3
Total,Todas las edades,Comunidad Foral de Navarra,2004,2
Total,Todas las edades,Comunidad Foral de Navarra,2003,2
Total,Todas las edades,Comunidad Foral de Navarra,2002,1
Total,Todas las edades,Comunidad Foral de Navarra,2001,5
Total,Todas las edades,Comunidad Foral de Navarra,2000,3
Total,Todas las edades,Comunidad Foral de Navarra,1999,4
Total,Todas las edades,Comunidad Foral de Navarra,1998,5
Total,Todas las edades,Comunidad Foral de Navarra,1997,2
Total,Todas las edades,Comunidad Foral de Navarra,1996,3
Total,Todas las edades,Comunidad Foral de Navarra,1995,7
Total,Todas las edades,Comunidad Foral de Navarra,1994,5
Total,Todas las edades,Comunidad Foral de Navarra,1993,4
Total,Todas las edades,Comunidad Foral de Navarra,1992,0
Total,Todas las edades,Comunidad Foral de Navarra,1991,2
Total,Todas las edades,Comunidad Foral de Navarra,1990,2
Total,Todas las edades,Comunidad Foral de Navarra,1989,3
Total,Todas las edades,Comunidad Foral de Navarra,1988,2
Total,Todas las edades,Comunidad Foral de Navarra,1987,5
Total,Todas las edades,Comunidad Foral de Navarra,1986,0
Total,Todas las edades,Comunidad Foral de Navarra,1985,1
Total,Todas las edades,Comunidad Foral de Navarra,1984,5
Total,Todas las edades,Comunidad Foral de Navarra,1983,3
Total,Todas las edades,Comunidad Foral de Navarra,1982,3
Total,Todas las edades,Comunidad Foral de Navarra,1981,1
Total,Todas las edades,Comunidad Foral de Navarra,1980,7
Total,Todas las edades,País Vasco,2022,9
Total,Todas las edades,País Vasco,2021,6
Total,Todas las edades,País Vasco,2020,7
Total,Todas las edades,País Vasco,2019,7
Total,Todas las edades,País Vasco,2018,4
Total,Todas las edades,País Vasco,2017,14
Total,Todas las edades,País Vasco,2016,7
Total,Todas las edades,País Vasco,2015,7
Total,Todas las edades,País Vasco,2014,7
Total,Todas las edades,País Vasco,2013,5
Total,Todas las edades,País Vasco,2012,9
Total,Todas las edades,País Vasco,2011,4
Total,Todas las edades,País Vasco,2010,14
Total,Todas las edades,País Vasco,2009,7
Total,Todas las edades,País Vasco,2008,4
Total,Todas las edades,País Vasco,2007,10
Total,Todas las edades,País Vasco,2006,9
Total,Todas las edades,País Vasco,2005,12
Total,Todas las edades,País Vasco,2004,10
Total,Todas las edades,País Vasco,2003,6
Total,Todas las edades,País Vasco,2002,7
Total,Todas las edades,País Vasco,2001,11
Total,Todas las edades,País Vasco,2000,4
Total,Todas las edades,País Vasco,1999,10
Total,Todas las edades,País Vasco,1998,17
Total,Todas las edades,País Vasco,1997,8
Total,Todas las edades,País Vasco,1996,7
Total,Todas las edades,País Vasco,1995,9
Total,Todas las edades,País Vasco,1994,7
Total,Todas las edades,País Vasco,1993,13
Total,Todas las edades,País Vasco,1992,10
Total,Todas las edades,País Vasco,1991,10
Total,Todas las edades,País Vasco,1990,5
Total,Todas las edades,País Vasco,1989,12
Total,Todas las edades,País Vasco,1988,9
Total,Todas las edades,País Vasco,1987,7
Total,Todas las edades,País Vasco,1986,14
Total,Todas las edades,País Vasco,1985,9
Total,Todas las edades,País Vasco,1984,13
Total,Todas las edades,País Vasco,1983,6
Total,Todas las edades,País Vasco,1982,7
Total,Todas las edades,País Vasco,1981,17
Total,Todas las edades,País Vasco,1980,9
Total,Todas las edades,La Rioja,2022,2
Total,Todas las edades,La Rioja,2021,0
Total,Todas las edades,La Rioja,2020,1
Total,Todas las edades,La Rioja,2019,3
Total,Todas las edades,La Rioja,2018,1
Total,Todas las edades,La Rioja,2017,2
Total,Todas las edades,La Rioja,2016,3
Total,Todas las edades,La Rioja,2015,1
Total,Todas las edades,La Rioja,2014,0
Total,Todas las edades,La Rioja,2013,0
Total,Todas las edades,La Rioja,2012,0
Total,Todas las edades,La Rioja,2011,2
Total,Todas las edades,La Rioja,2010,2
Total,Todas las edades,La Rioja,2009,2
Total,Todas las edades,La Rioja,2008,3
Total,Todas las edades,La Rioja,2007,2
Total,Todas las edades,La Rioja,2006,0
Total,Todas las edades,La Rioja,2005,1
Total,Todas las edades,La Rioja,2004,2
Total,Todas las edades,La Rioja,2003,0
Total,Todas las edades,La Rioja,2002,3
Total,Todas las edades,La Rioja,2001,1
Total,Todas las edades,La Rioja,2000,4
Total,Todas las edades,La Rioja,1999,1
Total,Todas las edades,La Rioja,1998,2
Total,Todas las edades,La Rioja,1997,1
Total,Todas las edades,La Rioja,1996,2
Total,Todas las edades,La Rioja,1995,2
Total,Todas las edades,La Rioja,1994,3
Total,Todas las edades,La Rioja,1993,2
Total,Todas las edades,La Rioja,1992,3
Total,Todas las edades,La Rioja,1991,3
Total,Todas las edades,La Rioja,1990,4
Total,Todas las edades,La Rioja,1989,1
Total,Todas las edades,La Rioja,1988,1
Total,Todas las edades,La Rioja,1987,2
Total,Todas las edades,La Rioja,1986,1
Total,Todas las edades,La Rioja,1985,3
Total,Todas las edades,La Rioja,1984,0
Total,Todas las edades,La Rioja,1983,2
Total,Todas las edades,La Rioja,1982,0
Total,Todas las edades,La Rioja,1981,1
Total,Todas las edades,La Rioja,1980,0
Total,Todas las edades,Ceuta,2022,0
Total,Todas las edades,Ceuta,2021,2
Total,Todas las edades,Ceuta,2020,0
Total,Todas las edades,Ceuta,2019,1
Total,Todas las edades,Ceuta,2018,0
Total,Todas las edades,Ceuta,2017,0
Total,Todas las edades,Ceuta,2016,0
Total,Todas las edades,Ceuta,2015,0
Total,Todas las edades,Ceuta,2014,0
Total,Todas las edades,Ceuta,2013,0
Total,Todas las edades,Ceuta,2012,0
Total,Todas las edades,Ceuta,2011,1
Total,Todas las edades,Ceuta,2010,0
Total,Todas las edades,Ceuta,2009,0
Total,Todas las edades,Ceuta,2008,0
Total,Todas las edades,Ceuta,2007,0
Total,Todas las edades,Ceuta,2006,0
Total,Todas las edades,Ceuta,2005,0
Total,Todas las edades,Ceuta,2004,0
Total,Todas las edades,Ceuta,2003,0
Total,Todas las edades,Ceuta,2002,1
Total,Todas las edades,Ceuta,2001,1
Total,Todas las edades,Ceuta,2000,1
Total,Todas las edades,Ceuta,1999,0
Total,Todas las edades,Ceuta,1998,1
Total,Todas las edades,Ceuta,1997,1
Total,Todas las edades,Ceuta,1996,0
Total,Todas las edades,Ceuta,1995,2
Total,Todas las edades,Ceuta,1994,0
Total,Todas las edades,Ceuta,1993,0
Total,Todas las edades,Ceuta,1992,0
Total,Todas las edades,Ceuta,1991,2
Total,Todas las edades,Ceuta,1990,0
Total,Todas las edades,Ceuta,1989,0
Total,Todas las edades,Ceuta,1988,0
Total,Todas las edades,Ceuta,1987,0
Total,Todas las edades,Ceuta,1986,1
Total,Todas las edades,Ceuta,1985,0
Total,Todas las edades,Ceuta,1984,0
Total,Todas las edades,Ceuta,1983,1
Total,Todas las edades,Ceuta,1982,1
Total,Todas las edades,Ceuta,1981,1
Total,Todas las edades,Ceuta,1980,1
Total,Todas las edades,Melilla,2022,0
Total,Todas las edades,Melilla,2021,0
Total,Todas las edades,Melilla,2020,0
Total,Todas las edades,Melilla,2019,0
Total,Todas las edades,Melilla,2018,0
Total,Todas las edades,Melilla,2017,1
Total,Todas las edades,Melilla,2016,0
Total,Todas las edades,Melilla,2015,0
Total,Todas las edades,Melilla,2014,0
Total,Todas las edades,Melilla,2013,0
Total,Todas las edades,Melilla,2012,0
Total,Todas las edades,Melilla,2011,4
Total,Todas las edades,Melilla,2010,0
Total,Todas las edades,Melilla,2009,0
Total,Todas las edades,Melilla,2008,0
Total,Todas las edades,Melilla,2007,0
Total,Todas las edades,Melilla,2006,1
Total,Todas las edades,Melilla,2005,1
Total,Todas las edades,Melilla,2004,1
Total,Todas las edades,Melilla,2003,0
Total,Todas las edades,Melilla,2002,0
Total,Todas las edades,Melilla,2001,1
Total,Todas las edades,Melilla,2000,0
Total,Todas las edades,Melilla,1999,0
Total,Todas las edades,Melilla,1998,0
Total,Todas las edades,Melilla,1997,0
Total,Todas las edades,Melilla,1996,0
Total,Todas las edades,Melilla,1995,0
Total,Todas las edades,Melilla,1994,0
Total,Todas las edades,Melilla,1993,1
Total,Todas las edades,Melilla,1992,0
Total,Todas las edades,Melilla,1991,0
Total,Todas las edades,Melilla,1990,0
Total,Todas las edades,Melilla,1989,0
Total,Todas las edades,Melilla,1988,0
Total,Todas las edades,Melilla,1987,0
Total,Todas las edades,Melilla,1986,0
Total,Todas las edades,Melilla,1985,0
Total,Todas las edades,Melilla,1984,0
Total,Todas las edades,Melilla,1983,2
Total,Todas las edades,Melilla,1982,1
Total,Todas las edades,Melilla,1981,0
Total,Todas las edades,Melilla,1980,0
Hombres,Todas las edades,Andalucía,2022,28
Hombres,Todas las edades,Andalucía,2021,32
Hombres,Todas las edades,Andalucía,2020,17
Hombres,Todas las edades,Andalucía,2019,15
Hombres,Todas las edades,Andalucía,2018,15
Hombres,Todas las edades,Andalucía,2017,25
Hombres,Todas las edades,Andalucía,2016,21
Hombres,Todas las edades,Andalucía,2015,16
Hombres,Todas las edades,Andalucía,2014,23
Hombres,Todas las edades,Andalucía,2013,14
Hombres,Todas las edades,Andalucía,2012,23
Hombres,Todas las edades,Andalucía,2011,26
Hombres,Todas las edades,Andalucía,2010,28
Hombres,Todas las edades,Andalucía,2009,17
Hombres,Todas las edades,Andalucía,2008,17
Hombres,Todas las edades,Andalucía,2007,28
Hombres,Todas las edades,Andalucía,2006,23
Hombres,Todas las edades,Andalucía,2005,28
Hombres,Todas las edades,Andalucía,2004,37
Hombres,Todas las edades,Andalucía,2003,35
Hombres,Todas las edades,Andalucía,2002,27
Hombres,Todas las edades,Andalucía,2001,29
Hombres,Todas las edades,Andalucía,2000,28
Hombres,Todas las edades,Andalucía,1999,25
Hombres,Todas las edades,Andalucía,1998,21
Hombres,Todas las edades,Andalucía,1997,14
Hombres,Todas las edades,Andalucía,1996,24
Hombres,Todas las edades,Andalucía,1995,17
Hombres,Todas las edades,Andalucía,1994,25
Hombres,Todas las edades,Andalucía,1993,14
Hombres,Todas las edades,Andalucía,1992,26
Hombres,Todas las edades,Andalucía,1991,27
Hombres,Todas las edades,Andalucía,1990,21
Hombres,Todas las edades,Andalucía,1989,30
Hombres,Todas las edades,Andalucía,1988,27
Hombres,Todas las edades,Andalucía,1987,21
Hombres,Todas las edades,Andalucía,1986,20
Hombres,Todas las edades,Andalucía,1985,32
Hombres,Todas las edades,Andalucía,1984,31
Hombres,Todas las edades,Andalucía,1983,28
Hombres,Todas las edades,Andalucía,1982,32
Hombres,Todas las edades,Andalucía,1981,37
Hombres,Todas las edades,Andalucía,1980,51
Hombres,Todas las edades,Aragón,2022,3
Hombres,Todas las edades,Aragón,2021,3
Hombres,Todas las edades,Aragón,2020,3
Hombres,Todas las edades,Aragón,2019,3
Hombres,Todas las edades,Aragón,2018,2
Hombres,Todas las edades,Aragón,2017,5
Hombres,Todas las edades,Aragón,2016,0
Hombres,Todas las edades,Aragón,2015,3
Hombres,Todas las edades,Aragón,2014,1
Hombres,Todas las edades,Aragón,2013,4
Hombres,Todas las edades,Aragón,2012,5
Hombres,Todas las edades,Aragón,2011,2
Hombres,Todas las edades,Aragón,2010,6
Hombres,Todas las edades,Aragón,2009,5
Hombres,Todas las edades,Aragón,2008,3
Hombres,Todas las edades,Aragón,2007,9
Hombres,Todas las edades,Aragón,2006,7
Hombres,Todas las edades,Aragón,2005,9
Hombres,Todas las edades,Aragón,2004,4
Hombres,Todas las edades,Aragón,2003,3
Hombres,Todas las edades,Aragón,2002,1
Hombres,Todas las edades,Aragón,2001,2
Hombres,Todas las edades,Aragón,2000,1
Hombres,Todas las edades,Aragón,1999,5
Hombres,Todas las edades,Aragón,1998,7
Hombres,Todas las edades,Aragón,1997,4
Hombres,Todas las edades,Aragón,1996,6
Hombres,Todas las edades,Aragón,1995,3
Hombres,Todas las edades,Aragón,1994,9
Hombres,Todas las edades,Aragón,1993,7
Hombres,Todas las edades,Aragón,1992,2
Hombres,Todas las edades,Aragón,1991,8
Hombres,Todas las edades,Aragón,1990,29
Hombres,Todas las edades,Aragón,1989,5
Hombres,Todas las edades,Aragón,1988,4
Hombres,Todas las edades,Aragón,1987,3
Hombres,Todas las edades,Aragón,1986,4
Hombres,Todas las edades,Aragón,1985,7
Hombres,Todas las edades,Aragón,1984,3
Hombres,Todas las edades,Aragón,1983,2
Hombres,Todas las edades,Aragón,1982,0
Hombres,Todas las edades,Aragón,1981,3
Hombres,Todas las edades,Aragón,1980,5
Hombres,Todas las edades,Principado de Asturias,2022,7
Hombres,Todas las edades,Principado de Asturias,2021,5
Hombres,Todas las edades,Principado de Asturias,2020,2
Hombres,Todas las edades,Principado de Asturias,2019,4
Hombres,Todas las edades,Principado de Asturias,2018,1
Hombres,Todas las edades,Principado de Asturias,2017,2
Hombres,Todas las edades,Principado de Asturias,2016,4
Hombres,Todas las edades,Principado de Asturias,2015,0
Hombres,Todas las edades,Principado de Asturias,2014,7
Hombres,Todas las edades,Principado de Asturias,2013,3
Hombres,Todas las edades,Principado de Asturias,2012,5
Hombres,Todas las edades,Principado de Asturias,2011,3
Hombres,Todas las edades,Principado de Asturias,2010,7
Hombres,Todas las edades,Principado de Asturias,2009,2
Hombres,Todas las edades,Principado de Asturias,2008,2
Hombres,Todas las edades,Principado de Asturias,2007,4
Hombres,Todas las edades,Principado de Asturias,2006,3
Hombres,Todas las edades,Principado de Asturias,2005,4
Hombres,Todas las edades,Principado de Asturias,2004,1
Hombres,Todas las edades,Principado de Asturias,2003,2
Hombres,Todas las edades,Principado de Asturias,2002,2
Hombres,Todas las edades,Principado de Asturias,2001,3
Hombres,Todas las edades,Principado de Asturias,2000,2
Hombres,Todas las edades,Principado de Asturias,1999,5
Hombres,Todas las edades,Principado de Asturias,1998,5
Hombres,Todas las edades,Principado de Asturias,1997,1
Hombres,Todas las edades,Principado de Asturias,1996,1
Hombres,Todas las edades,Principado de Asturias,1995,3
Hombres,Todas las edades,Principado de Asturias,1994,2
Hombres,Todas las edades,Principado de Asturias,1993,5
Hombres,Todas las edades,Principado de Asturias,1992,7
Hombres,Todas las edades,Principado de Asturias,1991,7
Hombres,Todas las edades,Principado de Asturias,1990,4
Hombres,Todas las edades,Principado de Asturias,1989,6
Hombres,Todas las edades,Principado de Asturias,1988,3
Hombres,Todas las edades,Principado de Asturias,1987,3
Hombres,Todas las edades,Principado de Asturias,1986,5
Hombres,Todas las edades,Principado de Asturias,1985,8
Hombres,Todas las edades,Principado de Asturias,1984,4
Hombres,Todas las edades,Principado de Asturias,1983,4
Hombres,Todas las edades,Principado de Asturias,1982,7
Hombres,Todas las edades,Principado de Asturias,1981,2
Hombres,Todas las edades,Principado de Asturias,1980,0
Hombres,Todas las edades,Illes Balears,2022,4
Hombres,Todas las edades,Illes Balears,2021,1
Hombres,Todas las edades,Illes Balears,2020,3
Hombres,Todas las edades,Illes Balears,2019,3
Hombres,Todas las edades,Illes Balears,2018,3
Hombres,Todas las edades,Illes Balears,2017,1
Hombres,Todas las edades,Illes Balears,2016,0
Hombres,Todas las edades,Illes Balears,2015,7
Hombres,Todas las edades,Illes Balears,2014,1
Hombres,Todas las edades,Illes Balears,2013,3
Hombres,Todas las edades,Illes Balears,2012,1
Hombres,Todas las edades,Illes Balears,2011,1
Hombres,Todas las edades,Illes Balears,2010,8
Hombres,Todas las edades,Illes Balears,2009,5
Hombres,Todas las edades,Illes Balears,2008,1
Hombres,Todas las edades,Illes Balears,2007,2
Hombres,Todas las edades,Illes Balears,2006,4
Hombres,Todas las edades,Illes Balears,2005,2
Hombres,Todas las edades,Illes Balears,2004,5
Hombres,Todas las edades,Illes Balears,2003,2
Hombres,Todas las edades,Illes Balears,2002,0
Hombres,Todas las edades,Illes Balears,2001,6
Hombres,Todas las edades,Illes Balears,2000,1
Hombres,Todas las edades,Illes Balears,1999,4
Hombres,Todas las edades,Illes Balears,1998,4
Hombres,Todas las edades,Illes Balears,1997,4
Hombres,Todas las edades,Illes Balears,1996,0
Hombres,Todas las edades,Illes Balears,1995,1
Hombres,Todas las edades,Illes Balears,1994,4
Hombres,Todas las edades,Illes Balears,1993,0
Hombres,Todas las edades,Illes Balears,1992,1
Hombres,Todas las edades,Illes Balears,1991,2
Hombres,Todas las edades,Illes Balears,1990,2
Hombres,Todas las edades,Illes Balears,1989,2
Hombres,Todas las edades,Illes Balears,1988,3
Hombres,Todas las edades,Illes Balears,1987,2
Hombres,Todas las edades,Illes Balears,1986,1
Hombres,Todas las edades,Illes Balears,1985,3
Hombres,Todas las edades,Illes Balears,1984,1
Hombres,Todas las edades,Illes Balears,1983,1
Hombres,Todas las edades,Illes Balears,1982,5
Hombres,Todas las edades,Illes Balears,1981,2
Hombres,Todas las edades,Illes Balears,1980,2
Hombres,Todas las edades,Canarias,2022,8
Hombres,Todas las edades,Canarias,2021,5
Hombres,Todas las edades,Canarias,2020,3
Hombres,Todas las edades,Canarias,2019,4
Hombres,Todas las edades,Canarias,2018,1
Hombres,Todas las edades,Canarias,2017,3
Hombres,Todas las edades,Canarias,2016,11
Hombres,Todas las edades,Canarias,2015,4
Hombres,Todas las edades,Canarias,2014,4
Hombres,Todas las edades,Canarias,2013,5
Hombres,Todas las edades,Canarias,2012,6
Hombres,Todas las edades,Canarias,2011,5
Hombres,Todas las edades,Canarias,2010,3
Hombres,Todas las edades,Canarias,2009,3
Hombres,Todas las edades,Canarias,2008,6
Hombres,Todas las edades,Canarias,2007,7
Hombres,Todas las edades,Canarias,2006,5
Hombres,Todas las edades,Canarias,2005,5
Hombres,Todas las edades,Canarias,2004,2
Hombres,Todas las edades,Canarias,2003,5
Hombres,Todas las edades,Canarias,2002,5
Hombres,Todas las edades,Canarias,2001,3
Hombres,Todas las edades,Canarias,2000,4
Hombres,Todas las edades,Canarias,1999,2
Hombres,Todas las edades,Canarias,1998,4
Hombres,Todas las edades,Canarias,1997,3
Hombres,Todas las edades,Canarias,1996,6
Hombres,Todas las edades,Canarias,1995,11
Hombres,Todas las edades,Canarias,1994,7
Hombres,Todas las edades,Canarias,1993,6
Hombres,Todas las edades,Canarias,1992,10
Hombres,Todas las edades,Canarias,1991,4
Hombres,Todas las edades,Canarias,1990,8
Hombres,Todas las edades,Canarias,1989,9
Hombres,Todas las edades,Canarias,1988,11
Hombres,Todas las edades,Canarias,1987,5
Hombres,Todas las edades,Canarias,1986,4
Hombres,Todas las edades,Canarias,1985,6
Hombres,Todas las edades,Canarias,1984,25
Hombres,Todas las edades,Canarias,1983,6
Hombres,Todas las edades,Canarias,1982,5
Hombres,Todas las edades,Canarias,1981,6
Hombres,Todas las edades,Canarias,1980,7
Hombres,Todas las edades,Cantabria,2022,2
Hombres,Todas las edades,Cantabria,2021,2
Hombres,Todas las edades,Cantabria,2020,1
Hombres,Todas las edades,Cantabria,2019,4
Hombres,Todas las edades,Cantabria,2018,4
Hombres,Todas las edades,Cantabria,2017,1
Hombres,Todas las edades,Cantabria,2016,0
Hombres,Todas las edades,Cantabria,2015,1
Hombres,Todas las edades,Cantabria,2014,1
Hombres,Todas las edades,Cantabria,2013,1
Hombres,Todas las edades,Cantabria,2012,2
Hombres,Todas las edades,Cantabria,2011,3
Hombres,Todas las edades,Cantabria,2010,1
Hombres,Todas las edades,Cantabria,2009,0
Hombres,Todas las edades,Cantabria,2008,1
Hombres,Todas las edades,Cantabria,2007,0
Hombres,Todas las edades,Cantabria,2006,2
Hombres,Todas las edades,Cantabria,2005,1
Hombres,Todas las edades,Cantabria,2004,1
Hombres,Todas las edades,Cantabria,2003,1
Hombres,Todas las edades,Cantabria,2002,0
Hombres,Todas las edades,Cantabria,2001,2
Hombres,Todas las edades,Cantabria,2000,3
Hombres,Todas las edades,Cantabria,1999,2
Hombres,Todas las edades,Cantabria,1998,0
Hombres,Todas las edades,Cantabria,1997,3
Hombres,Todas las edades,Cantabria,1996,5
Hombres,Todas las edades,Cantabria,1995,0
Hombres,Todas las edades,Cantabria,1994,2
Hombres,Todas las edades,Cantabria,1993,1
Hombres,Todas las edades,Cantabria,1992,3
Hombres,Todas las edades,Cantabria,1991,1
Hombres,Todas las edades,Cantabria,1990,3
Hombres,Todas las edades,Cantabria,1989,3
Hombres,Todas las edades,Cantabria,1988,2
Hombres,Todas las edades,Cantabria,1987,0
Hombres,Todas las edades,Cantabria,1986,2
Hombres,Todas las edades,Cantabria,1985,4
Hombres,Todas las edades,Cantabria,1984,2
Hombres,Todas las edades,Cantabria,1983,1
Hombres,Todas las edades,Cantabria,1982,0
Hombres,Todas las edades,Cantabria,1981,5
Hombres,Todas las edades,Cantabria,1980,0
Hombres,Todas las edades,Castilla y León,2022,12
Hombres,Todas las edades,Castilla y León,2021,5
Hombres,Todas las edades,Castilla y León,2020,7
Hombres,Todas las edades,Castilla y León,2019,8
Hombres,Todas las edades,Castilla y León,2018,8
Hombres,Todas las edades,Castilla y León,2017,6
Hombres,Todas las edades,Castilla y León,2016,9
Hombres,Todas las edades,Castilla y León,2015,5
Hombres,Todas las edades,Castilla y León,2014,9
Hombres,Todas las edades,Castilla y León,2013,7
Hombres,Todas las edades,Castilla y León,2012,7
Hombres,Todas las edades,Castilla y León,2011,9
Hombres,Todas las edades,Castilla y León,2010,4
Hombres,Todas las edades,Castilla y León,2009,5
Hombres,Todas las edades,Castilla y León,2008,9
Hombres,Todas las edades,Castilla y León,2007,6
Hombres,Todas las edades,Castilla y León,2006,7
Hombres,Todas las edades,Castilla y León,2005,15
Hombres,Todas las edades,Castilla y León,2004,11
Hombres,Todas las edades,Castilla y León,2003,9
Hombres,Todas las edades,Castilla y León,2002,6
Hombres,Todas las edades,Castilla y León,2001,10
Hombres,Todas las edades,Castilla y León,2000,8
Hombres,Todas las edades,Castilla y León,1999,16
Hombres,Todas las edades,Castilla y León,1998,12
Hombres,Todas las edades,Castilla y León,1997,8
Hombres,Todas las edades,Castilla y León,1996,11
Hombres,Todas las edades,Castilla y León,1995,6
Hombres,Todas las edades,Castilla y León,1994,7
Hombres,Todas las edades,Castilla y León,1993,11
Hombres,Todas las edades,Castilla y León,1992,14
Hombres,Todas las edades,Castilla y León,1991,10
Hombres,Todas las edades,Castilla y León,1990,10
Hombres,Todas las edades,Castilla y León,1989,9
Hombres,Todas las edades,Castilla y León,1988,6
Hombres,Todas las edades,Castilla y León,1987,12
Hombres,Todas las edades,Castilla y León,1986,7
Hombres,Todas las edades,Castilla y León,1985,16
Hombres,Todas las edades,Castilla y León,1984,19
Hombres,Todas las edades,Castilla y León,1983,8
Hombres,Todas las edades,Castilla y León,1982,8
Hombres,Todas las edades,Castilla y León,1981,12
Hombres,Todas las edades,Castilla y León,1980,8
Hombres,Todas las edades,Castilla - La Mancha,2022,9
Hombres,Todas las edades,Castilla - La Mancha,2021,7
Hombres,Todas las edades,Castilla - La Mancha,2020,7
Hombres,Todas las edades,Castilla - La Mancha,2019,5
Hombres,Todas las edades,Castilla - La Mancha,2018,8
Hombres,Todas las edades,Castilla - La Mancha,2017,6
Hombres,Todas las edades,Castilla - La Mancha,2016,8
Hombres,Todas las edades,Castilla - La Mancha,2015,5
Hombres,Todas las edades,Castilla - La Mancha,2014,6
Hombres,Todas las edades,Castilla - La Mancha,2013,3
Hombres,Todas las edades,Castilla - La Mancha,2012,2
Hombres,Todas las edades,Castilla - La Mancha,2011,6
Hombres,Todas las edades,Castilla - La Mancha,2010,3
Hombres,Todas las edades,Castilla - La Mancha,2009,6
Hombres,Todas las edades,Castilla - La Mancha,2008,8
Hombres,Todas las edades,Castilla - La Mancha,2007,9
Hombres,Todas las edades,Castilla - La Mancha,2006,3
Hombres,Todas las edades,Castilla - La Mancha,2005,20
Hombres,Todas las edades,Castilla - La Mancha,2004,4
Hombres,Todas las edades,Castilla - La Mancha,2003,4
Hombres,Todas las edades,Castilla - La Mancha,2002,6
Hombres,Todas las edades,Castilla - La Mancha,2001,5
Hombres,Todas las edades,Castilla - La Mancha,2000,5
Hombres,Todas las edades,Castilla - La Mancha,1999,10
Hombres,Todas las edades,Castilla - La Mancha,1998,4
Hombres,Todas las edades,Castilla - La Mancha,1997,5
Hombres,Todas las edades,Castilla - La Mancha,1996,5
Hombres,Todas las edades,Castilla - La Mancha,1995,3
Hombres,Todas las edades,Castilla - La Mancha,1994,3
Hombres,Todas las edades,Castilla - La Mancha,1993,4
Hombres,Todas las edades,Castilla - La Mancha,1992,3
Hombres,Todas las edades,Castilla - La Mancha,1991,10
Hombres,Todas las edades,Castilla - La Mancha,1990,10
Hombres,Todas las edades,Castilla - La Mancha,1989,7
Hombres,Todas las edades,Castilla - La Mancha,1988,4
Hombres,Todas las edades,Castilla - La Mancha,1987,5
Hombres,Todas las edades,Castilla - La Mancha,1986,8
Hombres,Todas las edades,Castilla - La Mancha,1985,11
Hombres,Todas las edades,Castilla - La Mancha,1984,3
Hombres,Todas las edades,Castilla - La Mancha,1983,9
Hombres,Todas las edades,Castilla - La Mancha,1982,6
Hombres,Todas las edades,Castilla - La Mancha,1981,12
Hombres,Todas las edades,Castilla - La Mancha,1980,12
Hombres,Todas las edades,Cataluña,2022,23
Hombres,Todas las edades,Cataluña,2021,24
Hombres,Todas las edades,Cataluña,2020,25
Hombres,Todas las edades,Cataluña,2019,14
Hombres,Todas las edades,Cataluña,2018,16
Hombres,Todas las edades,Cataluña,2017,13
Hombres,Todas las edades,Cataluña,2016,13
Hombres,Todas las edades,Cataluña,2015,13
Hombres,Todas las edades,Cataluña,2014,20
Hombres,Todas las edades,Cataluña,2013,10
Hombres,Todas las edades,Cataluña,2012,17
Hombres,Todas las edades,Cataluña,2011,11
Hombres,Todas las edades,Cataluña,2010,13
Hombres,Todas las edades,Cataluña,2009,10
Hombres,Todas las edades,Cataluña,2008,8
Hombres,Todas las edades,Cataluña,2007,7
Hombres,Todas las edades,Cataluña,2006,5
Hombres,Todas las edades,Cataluña,2005,18
Hombres,Todas las edades,Cataluña,2004,17
Hombres,Todas las edades,Cataluña,2003,19
Hombres,Todas las edades,Cataluña,2002,21
Hombres,Todas las edades,Cataluña,2001,21
Hombres,Todas las edades,Cataluña,2000,13
Hombres,Todas las edades,Cataluña,1999,17
Hombres,Todas las edades,Cataluña,1998,16
Hombres,Todas las edades,Cataluña,1997,15
Hombres,Todas las edades,Cataluña,1996,18
Hombres,Todas las edades,Cataluña,1995,12
Hombres,Todas las edades,Cataluña,1994,29
Hombres,Todas las edades,Cataluña,1993,26
Hombres,Todas las edades,Cataluña,1992,22
Hombres,Todas las edades,Cataluña,1991,21
Hombres,Todas las edades,Cataluña,1990,25
Hombres,Todas las edades,Cataluña,1989,19
Hombres,Todas las edades,Cataluña,1988,21
Hombres,Todas las edades,Cataluña,1987,11
Hombres,Todas las edades,Cataluña,1986,14
Hombres,Todas las edades,Cataluña,1985,18
Hombres,Todas las edades,Cataluña,1984,21
Hombres,Todas las edades,Cataluña,1983,28
Hombres,Todas las edades,Cataluña,1982,13
Hombres,Todas las edades,Cataluña,1981,17
Hombres,Todas las edades,Cataluña,1980,30
Hombres,Todas las edades,Comunitat Valenciana,2022,19
Hombres,Todas las edades,Comunitat Valenciana,2021,14
Hombres,Todas las edades,Comunitat Valenciana,2020,10
Hombres,Todas las edades,Comunitat Valenciana,2019,22
Hombres,Todas las edades,Comunitat Valenciana,2018,8
Hombres,Todas las edades,Comunitat Valenciana,2017,19
Hombres,Todas las edades,Comunitat Valenciana,2016,18
Hombres,Todas las edades,Comunitat Valenciana,2015,13
Hombres,Todas las edades,Comunitat Valenciana,2014,20
Hombres,Todas las edades,Comunitat Valenciana,2013,15
Hombres,Todas las edades,Comunitat Valenciana,2012,16
