Genero,Edad,CCAA,Periodo,Total
Total,Todas las edades,Aragón,1983,4
Total,Todas las edades,Aragón,1982,3
Total,Todas las edades,Aragón,1981,5
Total,Todas las edades,Aragón,1980,10
Total,Todas las edades,Principado de Asturias,2022,10
Total,Todas las edades,Principado de Asturias,2021,7
Total,Todas las edades,Principado de Asturias,2020,2
Total,Todas las edades,Principado de Asturias,2019,6
Total,Todas las edades,Principado de Asturias,2018,2
Total,Todas las edades,Principado de Asturias,2017,2
Total,Todas las edades,Principado de Asturias,2016,10
Total,Todas las edades,Principado de Asturias,2015,4
Total,Todas las edades,Principado de Asturias,2014,14
Total,Todas las edades,Principado de Asturias,2013,5
Total,Todas las edades,Principado de Asturias,2012,7
Total,Todas las edades,Principado de Asturias,2011,6
Total,Todas las edades,Principado de Asturias,2010,9
Total,Todas las edades,Principado de Asturias,2009,4
Total,Todas las edades,Principado de Asturias,2008,4
Total,Todas las edades,Principado de Asturias,2007,8
Total,Todas las edades,Principado de Asturias,2006,7
Total,Todas las edades,Principado de Asturias,2005,6
Total,Todas las edades,Principado de Asturias,2004,4
Total,Todas las edades,Principado de Asturias,2003,6
Total,Todas las edades,Principado de Asturias,2002,3
Total,Todas las edades,Principado de Asturias,2001,8
Total,Todas las edades,Principado de Asturias,2000,4
Total,Todas las edades,Principado de Asturias,1999,7
Total,Todas las edades,Principado de Asturias,1998,9
Total,Todas las edades,Principado de Asturias,1997,8
Total,Todas las edades,Principado de Asturias,1996,5
Total,Todas las edades,Principado de Asturias,1995,3
Total,Todas las edades,Principado de Asturias,1994,7
Total,Todas las edades,Principado de Asturias,1993,12
Total,Todas las edades,Principado de Asturias,1992,8
Total,Todas las edades,Principado de Asturias,1991,13
Total,Todas las edades,Principado de Asturias,1990,8
Total,Todas las edades,Principado de Asturias,1989,9
Total,Todas las edades,Principado de Asturias,1988,4
Total,Todas las edades,Principado de Asturias,1987,9
Total,Todas las edades,Principado de Asturias,1986,11
